AvgTurnTime,CompleteCityScore,CompleteMonasteryScore,CompleteRoadScore,Draw,FarmScore,FixtureSet,Game,IncompleteCityScore,IncompleteMonasteryScore,IncompleteRoadScore,Loss,MeepleFeatures,MeepleTurns,MeeplesPlayed,Opponent,OpponentScore,Player,PlayerScore,Result,Turns,Win
16.97823253605101,24,9,15,0,6,2,2,28,7,1,0,"['R', 'C', 'R', 'G', 'C', 'C', 'G', 'R', 'C', 'C', 'C', 'R', 'R', 'Monastery', 'C', 'Monastery']","[1, 2, 3, 4, 5, 6, 7, 8, 10, 13, 15, 17, 19, 25, 34, 35]",16,Random,19,M_RAVE,90,1,36,1
0.0006909434859817093,0,0,3,0,0,2,3,4,7,5,1,"['R', 'G', 'R', 'C', 'Monastery', 'R', 'G', 'R']","[1, 2, 3, 4, 5, 7, 8, 10]",8,M_RAVE,65,Random,19,2,37,0
17.37105698055691,14,0,11,0,15,2,3,15,8,2,0,"['R', 'C', 'R', 'C', 'G', 'Monastery', 'R', 'C', 'G', 'C', 'G']","[1, 2, 4, 6, 7, 8, 9, 10, 18, 29, 30]",11,Random,19,M_RAVE,65,1,36,1
0.0005815802393732844,0,0,0,0,3,2,4,5,0,4,1,"['C', 'C', 'G', 'R', 'C', 'R', 'G']","[1, 2, 4, 5, 8, 10, 11]",7,M_RAVE,89,Random,12,2,37,0
16.768705904483795,12,0,16,0,21,2,4,21,7,12,0,"['C', 'R', 'R', 'C', 'C', 'G', 'R', 'C', 'R', 'C', 'R', 'Monastery', 'G', 'R']","[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 15, 33, 34]",14,Random,12,M_RAVE,89,1,36,1
0.0007010472787393106,0,0,3,0,3,2,5,0,0,9,1,"['G', 'R', 'R', 'G', 'G', 'R', 'G', 'R']","[1, 2, 3, 5, 7, 10, 11, 13]",8,M_RAVE,82,Random,15,2,37,0
16.928701519966125,0,18,8,0,12,2,5,31,13,0,0,"['Monastery', 'G', 'C', 'R', 'R', 'C', 'C', 'G', 'Monastery', 'Monastery', 'Monastery']","[1, 2, 3, 5, 6, 7, 8, 16, 21, 25, 35]",11,Random,15,M_RAVE,82,1,36,1
0.0006753238471778662,0,0,3,0,3,2,6,2,7,3,1,"['G', 'C', 'R', 'C', 'G', 'R', 'R', 'Monastery']","[1, 2, 3, 4, 6, 7, 8, 11]",8,M_RAVE,85,Random,18,2,37,0
17.46328690979216,24,0,0,0,30,2,6,25,0,6,0,"['G', 'C', 'C', 'G', 'R', 'C', 'C', 'C', 'G', 'G']","[1, 2, 3, 4, 5, 7, 8, 9, 13, 18]",10,Random,18,M_RAVE,85,1,36,1
0.0006127293045456345,4,0,0,0,0,2,7,1,5,0,1,"['C', 'C', 'G', 'G', 'G', 'G', 'G', 'Monastery']","[1, 2, 3, 4, 5, 6, 7, 8]",8,M_RAVE,77,Random,10,2,37,0
16.449025584591762,4,0,8,0,18,2,7,26,7,14,0,"['G', 'C', 'R', 'Monastery', 'C', 'R', 'R', 'G', 'C', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 10, 16]",10,Random,10,M_RAVE,77,1,36,1
0.0005996613889127164,0,0,0,0,15,2,8,2,0,3,1,"['G', 'C', 'G', 'G', 'R', 'G', 'G']","[1, 2, 3, 4, 5, 7, 8]",7,M_RAVE,109,Random,20,2,37,0
17.03964055246777,38,9,10,0,15,2,8,24,7,6,0,"['C', 'R', 'C', 'G', 'Monastery', 'C', 'R', 'C', 'G', 'C', 'C', 'Monastery', 'C', 'R', 'C']","[1, 2, 3, 4, 6, 7, 8, 10, 12, 15, 16, 18, 22, 23, 30]",15,Random,20,M_RAVE,109,1,36,1
0.0006577066473058753,4,0,0,0,6,2,9,1,6,4,1,"['C', 'G', 'G', 'C', 'G', 'R', 'R', 'Monastery']","[1, 2, 3, 6, 7, 8, 9, 10]",8,M_RAVE,95,Random,21,2,37,0
17.765809324052594,24,18,4,0,9,2,9,21,6,13,0,"['C', 'R', 'C', 'R', 'Monastery', 'C', 'C', 'R', 'Monastery', 'C', 'Monastery', 'G']","[1, 3, 4, 5, 6, 7, 8, 9, 11, 17, 24, 29]",12,Random,21,M_RAVE,95,1,36,1
0.0006138634037327122,0,0,0,0,6,2,10,1,0,1,1,"['G', 'G', 'G', 'G', 'R', 'G', 'C']","[1, 2, 3, 6, 7, 10, 11]",7,M_RAVE,88,Random,8,2,37,0
16.48601708147261,16,0,18,0,12,2,10,18,24,0,0,"['C', 'R', 'C', 'C', 'R', 'R', 'R', 'C', 'Monastery', 'Monastery', 'G', 'Monastery', 'G']","[1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 20, 32, 33]",13,Random,8,M_RAVE,88,1,36,1
0.0005767603178282041,0,0,0,0,12,2,11,0,0,4,1,"['G', 'G', 'R', 'R', 'G', 'G', 'G']","[1, 2, 3, 5, 6, 8, 9]",7,M_RAVE,102,Random,16,2,37,0
16.815679172674812,40,0,11,0,9,2,11,20,8,14,0,"['C', 'C', 'R', 'R', 'C', 'R', 'G', 'R', 'C', 'C', 'C', 'Monastery', 'C', 'C', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 18, 20, 23, 29, 31, 32, 33]",15,Random,16,M_RAVE,102,1,36,1
0.0006018973685599662,0,0,0,0,3,2,12,2,7,0,1,"['G', 'G', 'G', 'G', 'Monastery', 'G', 'C']","[1, 2, 6, 7, 9, 11, 12]",7,M_RAVE,111,Random,12,2,37,0
16.294489681720734,30,9,28,0,15,2,12,21,8,0,0,"['C', 'R', 'R', 'C', 'Monastery', 'C', 'C', 'C', 'R', 'R', 'R', 'G', 'G', 'Monastery', 'C', 'C']","[1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 16, 18, 29, 30, 32]",16,Random,12,M_RAVE,111,1,36,1
0.0007472899225023057,0,0,0,0,3,2,13,4,0,5,1,"['R', 'G', 'C', 'G', 'R', 'G', 'G']","[1, 2, 4, 6, 7, 10, 12]",7,M_RAVE,116,Random,12,2,36,0
16.292985730701023,38,9,15,0,15,2,13,19,8,12,0,"['R', 'C', 'C', 'G', 'C', 'R', 'C', 'R', 'R', 'C', 'R', 'R', 'R', 'C', 'G', 'C', 'Monastery', 'Monastery']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 17, 18, 19, 20, 21, 26, 27, 28]",18,Random,12,M_RAVE,116,1,36,1
0.0006088437260808173,0,0,2,0,3,2,14,1,0,6,1,"['R', 'R', 'C', 'G', 'R', 'G', 'R', 'G']","[2, 3, 4, 5, 6, 8, 10, 17]",8,M_RAVE,94,Random,12,2,37,0
16.150445255968307,44,0,2,0,18,2,14,22,0,8,0,"['C', 'R', 'C', 'G', 'C', 'C', 'C', 'R', 'C', 'C', 'G']","[1, 2, 3, 5, 6, 7, 11, 12, 13, 31, 35]",11,Random,12,M_RAVE,94,1,36,1
0.0007138832195385081,4,0,0,0,9,2,15,0,0,10,1,"['R', 'G', 'G', 'C', 'G', 'R', 'G', 'R']","[3, 5, 6, 7, 8, 11, 12, 13]",8,M_RAVE,95,Random,23,2,37,0
17.096088296837276,36,0,14,0,6,2,15,22,8,9,0,"['C', 'R', 'G', 'C', 'R', 'C', 'C', 'R', 'C', 'R', 'C', 'Monastery', 'C', 'R', 'R', 'C', 'R']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 17, 18, 22, 23, 26]",17,Random,23,M_RAVE,95,1,36,1
0.0005839579814189191,0,0,0,0,9,2,16,15,5,0,1,"['C', 'G', 'G', 'G', 'Monastery', 'G', 'C']","[2, 3, 4, 6, 7, 8, 9]",7,M_RAVE,118,Random,29,2,37,0
